target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num
TASMANIAN_HEN_5.jpg,AFRICAN_EMERALD_CUCKOO_5.jpg,BLACKBURNIAM_WARBLER_3.jpg,BORNEAN_PHEASANT_2.jpg,COPPERY_TAILED_COUCAL_1.jpg,1,2,3,2,2,0
CASPIAN_TERN_1.jpg,BRANDT_CORMARANT_4.jpg,COMMON_POORWILL_4.jpg,COMMON_LOON_2.jpg,EUROPEAN_GOLDFINCH_4.jpg,1,3,2,1,1,1
AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,BORNEAN_PHEASANT_4.jpg,CAPUCHINBIRD_2.jpg,ALEXANDRINE_PARAKEET_1.jpg,1,3,2,1,1,2
MCKAYS_BUNTING_3.jpg,AMERICAN_GOLDFINCH_4.jpg,EMU_4.jpg,IWI_2.jpg,PALILA_5.jpg,1,2,3,3,3,3
SHOEBILL_3.jpg,BALD_EAGLE_5.jpg,GILDED_FLICKER_5.jpg,MALAGASY_WHITE_EYE_3.jpg,BALD_IBIS_3.jpg,2,1,3,3,3,4
GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,VERMILION_FLYCATHER_5.jpg,WHIMBREL_1.jpg,COMMON_HOUSE_MARTIN_4.jpg,3,1,2,1,2,5
KILLDEAR_2.jpg,AZURE_TIT_5.jpg,CAATINGA_CACHOLOTE_4.jpg,ALEXANDRINE_PARAKEET_5.jpg,WHITE_TAILED_TROPIC_2.jpg,2,1,3,3,3,6
ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,KIWI_3.jpg,BORNEAN_LEAFBIRD_3.jpg,UMBRELLA_BIRD_5.jpg,1,3,2,2,3,7
EASTERN_TOWEE_2.jpg,HYACINTH_MACAW_4.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,ANDEAN_GOOSE_3.jpg,SANDHILL_CRANE_2.jpg,3,2,1,2,2,8
left.png,left.png,left.png,up.png,right.png,,,,,3,9
