image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2,mean_network_sim,numeric_image1,numeric_image2,distractor_level
bridge_128.jpg,bridge_61.jpg,0.4138925,0.30255705,0.21488287,0.16602731,0.13798732,0.18048652,0.16697903,VGG,bridge,bridge,0.2261160857142857,37,162,0
bridge_128.jpg,bridge_244.jpg,0.19943357,0.20121989,0.14545555,0.13562983,0.15277216,0.44389138,0.61658037,VGG,bridge,bridge,0.2707118214285714,37,225,1
bridge_184.jpg,bridge_191.jpg,0.3971398,0.3500957,0.27585006,0.21103875,0.17605239,0.26795137,0.22675215,VGG,bridge,bridge,0.2721257457142857,209,45,0
bridge_191.jpg,bridge_75.jpg,0.27678335,0.24740216,0.1725411,0.12806368,0.18302678,0.5687808,0.7702261,VGG,bridge,bridge,0.3352605671428571,45,123,1
bridge_202.jpg,bridge_31.jpg,0.44302827,0.3663277,0.24419364,0.1632998,0.10439381,0.2301488,0.24085334,VGG,bridge,bridge,0.2560350514285714,51,129,0
bridge_202.jpg,bridge_38.jpg,0.24085185,0.22015183,0.15420224,0.10958955,0.2677668,0.59550583,0.6971176,VGG,bridge,bridge,0.3264551,51,111,1
bridge_181.jpg,bridge_65.jpg,0.5278625,0.38784015,0.30427969,0.2663536,0.20878851,0.36093286,0.33877406,VGG,bridge,bridge,0.3421187671428571,164,80,0
bridge_60.jpg,bridge_65.jpg,0.19415289,0.20502107,0.17897138,0.117825374,0.19246458,0.43454948,0.5924329,VGG,bridge,bridge,0.2736310962857143,24,80,1
bridge_253.jpg,bridge_91.jpg,0.47678554,0.38993698,0.26921988,0.16499165,0.13210785,0.22852792,0.19093962,VGG,bridge,bridge,0.2646442057142857,240,96,0
bridge_82.jpg,bridge_91.jpg,0.27394694,0.23867187,0.19654839,0.12502621,0.13781095,0.46253076,0.61311215,VGG,bridge,bridge,0.2925210385714286,189,96,1
bridge_108.jpg,bridge_116.jpg,0.44730106,0.34920144,0.24762964,0.19738403,0.14940046,0.2483711,0.21163625,VGG,bridge,bridge,0.2644177114285714,115,31,0
bridge_108.jpg,bridge_148.jpg,0.26478463,0.21506563,0.122132674,0.1034239,0.056869548,0.398125,0.60236335,VGG,bridge,bridge,0.25182353314285716,115,223,1
bridge_146.jpg,bridge_27.jpg,0.559103,0.44871467,0.36349314,0.35771048,0.30148032,0.37599504,0.38618648,VGG,bridge,bridge,0.39895473285714284,178,167,0
bridge_121.jpg,bridge_146.jpg,0.21680012,0.21574654,0.17825231,0.12657373,0.123919815,0.48829567,0.59316856,VGG,bridge,bridge,0.27753667785714287,203,178,1
bridge_256.jpg,bridge_54.jpg,0.5615721,0.3221456,0.2330838,0.20008162,0.24881616,0.3228709,0.33830637,VGG,bridge,bridge,0.3181252214285714,181,93,0
bridge_211.jpg,bridge_256.jpg,0.2170392,0.24087079,0.18584725,0.16483872,0.2076342,0.50863606,0.62016785,VGG,bridge,bridge,0.3064334385714286,235,181,1
bridge_134.jpg,bridge_250.jpg,0.5934593,0.35073808,0.2575825,0.23696241,0.20030028,0.37473807,0.36619017,VGG,bridge,bridge,0.33999583,85,202,0
bridge_205.jpg,bridge_250.jpg,0.21684027,0.22751671,0.15666054,0.09816008,0.08620673,0.46474507,0.65571797,VGG,bridge,bridge,0.27226391,190,202,1
bridge_17.jpg,bridge_172.jpg,0.51105154,0.33323023,0.21598445,0.12672973,0.054675452,0.16425505,0.13769676,VGG,bridge,bridge,0.22051760171428572,29,265,0
bridge_163.jpg,bridge_172.jpg,0.240999,0.29422408,0.23278391,0.19781384,0.17983472,0.533336,0.7194958,VGG,bridge,bridge,0.34264105,201,265,1
