,image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2,mean_network_sim,numeric_image1,numeric_image2,distractor_level
13178,golf_course_134.jpg,golf_course_78.jpg,0.6981715,0.482696,0.39901108,0.45210558,0.42382407,0.5318465,0.456464,VGG,golf_course,golf_course,0.4920169614285714,323,6,0
1676,golf_course_101.jpg,golf_course_78.jpg,0.3318993,0.25808352,0.17637391,0.20011668,0.23796977,0.6112869,0.6580946,VGG,golf_course,golf_course,0.35340352571428574,155,6,1
5717,golf_course_113.jpg,golf_course_15.jpg,0.49526566,0.3774441,0.26094952,0.23375708,0.14565709,0.2778621,0.21183336,VGG,golf_course,golf_course,0.2861098442857143,205,13,0
18180,golf_course_15.jpg,golf_course_97.jpg,0.38110426,0.26941594,0.20435101,0.290166,0.3658637,0.7315341,0.7523341,VGG,golf_course,golf_course,0.4278241585714286,13,165,1
20183,golf_course_157.jpg,golf_course_188.jpg,0.45673525,0.3616948,0.27287096,0.26691312,0.21205261,0.36671716,0.3187651,VGG,golf_course,golf_course,0.3222498571428571,57,17,0
21281,golf_course_160.jpg,golf_course_188.jpg,0.24637824,0.22835025,0.20494322,0.22749513,0.2675305,0.6615712,0.7218634,VGG,golf_course,golf_course,0.36544742,234,17,1
6243,golf_course_114.jpg,golf_course_331.jpg,0.5610294,0.40104178,0.2908776,0.26699254,0.17374448,0.25381586,0.19005561,VGG,golf_course,golf_course,0.30536532428571433,64,78,0
45366,golf_course_26.jpg,golf_course_331.jpg,0.40557617,0.3228342,0.25227356,0.2863198,0.38907397,0.7107978,0.73317456,VGG,golf_course,golf_course,0.4428642942857143,43,78,1
21143,golf_course_16.jpg,golf_course_309.jpg,0.6388782,0.41036445,0.32713813,0.42296165,0.305841,0.5069652,0.4417466,VGG,golf_course,golf_course,0.4362707471428572,172,83,0
34673,golf_course_209.jpg,golf_course_309.jpg,0.27792647,0.27124554,0.21850635,0.16965948,0.10554933,0.43372166,0.58789116,VGG,golf_course,golf_course,0.29492857,76,83,1
35970,golf_course_214.jpg,golf_course_312.jpg,0.62505674,0.3733352,0.25831223,0.27990985,0.25197986,0.451685,0.40840256,VGG,golf_course,golf_course,0.37838306285714285,147,214,0
35975,golf_course_214.jpg,golf_course_317.jpg,0.3536199,0.3085351,0.22130308,0.21324454,0.24530953,0.67073846,0.7457522,VGG,golf_course,golf_course,0.39407183,147,116,1
11974,golf_course_130.jpg,golf_course_87.jpg,0.6267753,0.3919732,0.27231348,0.2620616,0.27384773,0.5029437,0.4099877,VGG,golf_course,golf_course,0.3914146728571429,171,183,0
21783,golf_course_161.jpg,golf_course_87.jpg,0.37487903,0.30967912,0.20719206,0.19266325,0.23041026,0.6429411,0.7310742,VGG,golf_course,golf_course,0.38411986000000004,317,183,1
30983,golf_course_195.jpg,golf_course_25.jpg,0.5167784,0.39478707,0.27103508,0.30677745,0.30715835,0.44901833,0.321008,VGG,golf_course,golf_course,0.36665181142857145,197,289,0
30927,golf_course_195.jpg,golf_course_2.jpg,0.39640296,0.32687792,0.2446906,0.2268063,0.343723,0.7261702,0.80192876,VGG,golf_course,golf_course,0.4380856771428571,197,341,1
30496,golf_course_193.jpg,golf_course_235.jpg,0.6296217,0.3837907,0.23884323,0.20432553,0.17533754,0.3275774,0.29090193,VGG,golf_course,golf_course,0.32148543285714287,226,223,0
9274,golf_course_123.jpg,golf_course_193.jpg,0.33074513,0.25725675,0.1742679,0.13944808,0.21452227,0.6012057,0.697094,VGG,golf_course,golf_course,0.3449342614285714,238,226,1
36637,golf_course_217.jpg,golf_course_35.jpg,0.6627994,0.4118315,0.27599958,0.25756305,0.21550728,0.4149519,0.47056827,VGG,golf_course,golf_course,0.3870315685714285,257,89,0
36547,golf_course_217.jpg,golf_course_262.jpg,0.26801738,0.28680134,0.20621233,0.19951949,0.19687364,0.52159923,0.68480504,VGG,golf_course,golf_course,0.3376897785714286,257,209,1
